r, g, b, x, y, z, L1, a1, b1, new_x, new_y, new_z, L2, a2, b2, percentage, d
0 40 48 0.853 1.259 2.445 2.276 -7.711 -5.658 0.656 0.968 1.881 1.75 -7.065 -5.185 30 0.958
0 40 56 1.044 1.32 3.441 2.387 -4.605 -9.189 0.803 1.016 2.647 1.836 -4.219 -8.419 30 1.022
0 40 64 1.286 1.398 4.705 2.528 -1.297 -12.703 0.989 1.076 3.619 1.945 -1.188 -11.64 30 1.218
0 40 72 1.563 1.488 6.153 2.69 1.883 -15.94 1.203 1.145 4.733 2.069 1.725 -14.606 30 1.481
0 40 80 1.902 1.597 7.919 2.887 5.146 -19.178 1.463 1.228 6.091 2.221 4.715 -17.572 30 1.791
0 40 88 2.307 1.728 10.037 3.124 8.434 -22.393 1.775 1.329 7.721 2.403 7.727 -20.518 30 2.129
0 40 96 2.78 1.88 12.503 3.399 11.655 -25.528 2.138 1.446 9.617 2.614 10.679 -23.39 30 2.477
0 40 104 3.312 2.052 15.282 3.709 14.735 -28.527 2.548 1.578 11.755 2.853 13.501 -26.139 30 2.822
0 40 112 3.902 2.242 18.361 4.053 17.656 -31.388 3.001 1.725 14.124 3.118 16.178 -28.759 30 3.157
0 40 120 4.531 2.445 21.645 4.42 20.355 -34.05 3.485 1.881 16.65 3.4 18.65 -31.199 30 3.475
0 40 128 5.202 2.661 25.149 4.811 22.879 -36.564 4.001 2.047 19.345 3.701 20.963 -33.502 30 3.779
0 40 136 5.982 2.913 29.223 5.266 25.464 -39.165 4.602 2.241 22.479 4.051 23.332 -35.885 30 4.096
0 40 144 6.781 3.171 33.392 5.732 27.811 -41.551 5.216 2.439 25.686 4.409 25.482 -38.071 30 4.391
0 40 152 7.588 3.431 37.609 6.203 29.943 -43.741 5.837 2.639 28.93 4.771 27.436 -40.078 30 4.664
0 40 160 8.415 3.698 41.924 6.685 31.925 -45.795 6.473 2.845 32.249 5.142 29.252 -41.96 30 4.923
0 40 168 9.269 3.973 46.382 7.183 33.799 -47.755 7.13 3.056 35.679 5.525 30.969 -43.756 30 5.172
0 40 176 10.155 4.259 51.009 7.699 35.59 -49.643 7.811 3.276 39.237 5.922 32.609 -45.486 30 5.415
0 40 184 11.087 4.56 55.878 8.241 37.333 -51.495 8.529 3.508 42.983 6.341 34.207 -47.183 30 5.655
0 40 192 12.116 4.892 61.248 8.815 39.115 -53.403 9.32 3.763 47.114 6.802 35.839 -48.931 30 5.897
0 40 200 13.476 5.33 68.348 9.535 41.281 -55.742 10.366 4.1 52.576 7.412 37.824 -51.074 30 6.184
0 40 208 14.956 5.808 76.074 10.276 43.438 -58.091 11.504 4.467 58.519 8.076 39.8 -53.227 30 6.46
0 40 216 16.551 6.322 84.401 11.03 45.571 -60.434 12.731 4.863 64.924 8.766 41.755 -55.373 30 6.73
